Last Update,Bitcoin Value,Doge Value
2024-12-23 11:35:02,93739,0.314347
2024-12-23 11:40:02,93489,0.312978
2024-12-23 11:45:02,93489,0.312978
2024-12-23 11:50:02,93214,0.311602
2024-12-23 11:55:01,93214,0.311602
2024-12-23 12:00:02,93325,0.311367
2024-12-23 12:05:02,93325,0.311367
2024-12-23 12:10:02,93472,0.31155
2024-12-23 12:15:02,93472,0.31155
2024-12-23 12:20:02,93287,0.311374
2024-12-23 12:25:02,93287,0.311374
2024-12-23 12:30:02,93160,0.31175
2024-12-23 12:35:01,93160,0.31175
2024-12-23 12:40:02,93148,0.311264
2024-12-23 12:45:02,93148,0.311264
2024-12-23 12:50:02,92870,0.310418
2024-12-23 12:55:02,92870,0.310418
2024-12-23 13:00:02,92615,0.309314
2024-12-23 13:05:02,92615,0.309314
2024-12-23 13:10:02,92625,0.310383
2024-12-23 13:15:02,92625,0.310383
2024-12-23 13:20:02,93319,0.313869
2024-12-23 13:25:01,93319,0.313869
2024-12-23 13:30:01,93605,0.3163
2024-12-23 13:35:01,93605,0.3163
2024-12-23 13:40:02,93377,0.316504
2024-12-23 13:45:02,93377,0.316504
2024-12-23 13:50:02,93132,0.315532
2024-12-23 13:55:02,93132,0.315532
2024-12-23 14:00:02,92912,0.314935
2024-12-23 14:05:02,92912,0.314935
2024-12-23 14:10:02,92939,0.315789
2024-12-23 14:15:02,92939,0.315789
2024-12-23 14:20:03,92512,0.315757
2024-12-23 14:25:02,92512,0.315757
2024-12-23 14:30:02,92904,0.318661
2024-12-23 14:35:02,92904,0.318661
2024-12-23 14:40:02,92879,0.320056
2024-12-23 14:45:02,92879,0.320056
2024-12-23 14:50:02,93018,0.320242
2024-12-23 14:55:02,93018,0.320242
2024-12-23 15:00:02,93347,0.32214
2024-12-23 15:05:02,93347,0.32214
2024-12-23 15:10:02,93864,0.326847
2024-12-23 15:15:01,93864,0.326847
2024-12-23 15:20:01,94057,0.326669
2024-12-23 15:25:01,94057,0.326669
2024-12-23 15:30:02,94127,0.327653
2024-12-23 15:35:02,94127,0.327653
2024-12-23 15:40:02,93938,0.325508
2024-12-23 15:45:01,93938,0.325508
2024-12-23 15:50:02,93723,0.323514
2024-12-23 15:55:02,93723,0.323514
2024-12-23 16:00:02,93904,0.322505
2024-12-23 16:05:02,93904,0.322505
2024-12-23 16:10:02,93925,0.322453
2024-12-23 16:15:02,93925,0.322453
2024-12-23 16:20:02,94227,0.324226
2024-12-23 16:25:02,94227,0.324226
2024-12-23 16:30:02,94864,0.326785
2024-12-23 16:35:02,94864,0.326785
2024-12-23 16:40:02,94711,0.325381
2024-12-23 16:45:02,94711,0.325381
2024-12-23 16:50:02,94512,0.324525
2024-12-23 16:55:02,94512,0.324525
2024-12-23 17:00:02,95069,0.326373
2024-12-23 17:05:02,95069,0.326373
2024-12-23 17:10:02,95119,0.325886
2024-12-23 17:15:02,95119,0.325886
2024-12-23 17:20:02,95186,0.325173
2024-12-23 17:25:02,95186,0.325173
2024-12-23 17:30:02,94932,0.324031
2024-12-23 17:35:02,94932,0.324031
2024-12-23 17:40:02,94739,0.323947
2024-12-23 17:45:02,94739,0.323947
2024-12-23 17:50:02,94575,0.322748
2024-12-23 17:55:02,94575,0.322748
2024-12-23 18:00:03,94725,0.323819
2024-12-23 18:05:02,94725,0.323819
2024-12-23 18:10:02,94520,0.323343
2024-12-23 18:15:02,94520,0.323343
2024-12-23 18:20:02,94463,0.322758
2024-12-23 18:25:02,94463,0.322758
2024-12-23 18:30:02,94143,0.320998
2024-12-23 18:35:02,94143,0.320998
2024-12-23 18:40:02,94313,0.321883
2024-12-23 18:45:01,94313,0.321883
2024-12-23 18:50:02,94211,0.322097
2024-12-23 18:55:02,94211,0.322097
2024-12-23 19:00:02,94483,0.323456
2024-12-23 19:05:02,94450,0.323495
2024-12-23 19:10:02,94450,0.323495
2024-12-23 19:15:02,94293,0.322713
2024-12-23 19:20:02,94293,0.322713
2024-12-23 19:25:02,94280,0.322384
2024-12-23 19:30:02,94280,0.322384
2024-12-23 19:35:02,94189,0.321309
2024-12-23 19:40:02,94189,0.321309
2024-12-23 19:45:02,94026,0.319928
2024-12-23 19:50:01,94026,0.319928
2024-12-23 19:55:01,94110,0.320135
2024-12-23 20:00:03,93981,0.319044
2024-12-23 20:05:02,93981,0.319044
2024-12-23 20:10:02,94122,0.319615
2024-12-23 20:15:02,94122,0.319615
2024-12-23 20:20:02,93599,0.316962
2024-12-23 20:25:02,93599,0.316962
2024-12-23 20:30:02,93750,0.317678
2024-12-23 20:35:02,93750,0.317678
2024-12-23 20:40:02,93903,0.318652
2024-12-23 20:45:02,93903,0.318652
2024-12-23 20:50:02,94031,0.318811
2024-12-23 20:55:02,94031,0.318811
2024-12-23 21:00:02,94025,0.31924
2024-12-23 21:05:01,94025,0.31924
2024-12-23 21:10:02,93821,0.318499
2024-12-23 21:15:01,93821,0.318499
2024-12-23 21:20:02,93753,0.318875
2024-12-23 21:25:02,93898,0.31971
2024-12-23 21:30:02,93898,0.31971
2024-12-23 21:35:02,94011,0.320412
2024-12-23 21:40:02,94011,0.320412
2024-12-23 21:45:02,94025,0.32082
2024-12-23 21:50:02,94025,0.32082
2024-12-23 21:55:02,94275,0.320793
2024-12-23 22:00:02,94275,0.320793
2024-12-23 22:05:02,94223,0.321058
2024-12-23 22:10:02,94223,0.321058
2024-12-23 22:15:02,94124,0.320713
2024-12-23 22:20:02,94124,0.320713
2024-12-23 22:25:02,94146,0.321105
2024-12-23 22:30:02,94146,0.321105
2024-12-23 22:35:02,94199,0.321879
2024-12-23 22:40:02,94199,0.321879
2024-12-23 22:45:01,94099,0.322005
2024-12-23 22:50:02,94121,0.321823
2024-12-23 22:55:02,94121,0.321823
2024-12-23 23:00:02,94297,0.322446
2024-12-23 23:05:02,94297,0.322446
2024-12-23 23:10:02,94340,0.32271
2024-12-23 23:15:02,94340,0.32271
