Last Update,Bitcoin Value,Bitcoin Volatility 5:1,Bitcoin Volatility 5:1 mean,Bitcoin Volatility 5:1 std,Bitcoin Volatility 5:8,Bitcoin Volatility 5:8 mean,Bitcoin Volatility 5:8 std,Bitcoin Volatility 5:24,Bitcoin Volatility 5:24 mean,Bitcoin Volatility 5:24 std,Bitcoin Volatility 30:8,Bitcoin Volatility 30:8 mean,Bitcoin Volatility 30:8 std,Bitcoin Volatility 30:24,Bitcoin Volatility 30:24 mean,Bitcoin Volatility 30:24 std,Bitcoin Volatility 30:168,Bitcoin Volatility 30:168 mean,Bitcoin Volatility 30:168 std,Doge Value,Doge Volatility 5:1,Doge Volatility 5:1 mean,Doge Volatility 5:1 std,Doge Volatility 5:8,Doge Volatility 5:8 mean,Doge Volatility 5:8 std,Doge Volatility 5:24,Doge Volatility 5:24 mean,Doge Volatility 5:24 std,Doge Volatility 30:8,Doge Volatility 30:8 mean,Doge Volatility 30:8 std,Doge Volatility 30:24,Doge Volatility 30:24 mean,Doge Volatility 30:24 std,Doge Volatility 30:168,Doge Volatility 30:168 mean,Doge Volatility 30:168 std
2024-12-23 11:35:02,93739.0,,,,,,,,,,,,,,,,,,,0.314347,,,,,,,,,,,,,,,,,,
2024-12-23 11:40:02,93489.0,250.0,250.0,,250.0,250.0,,250.0,250.0,,,,,,,,,,,0.312978,0.001369000000000009,0.001369000000000009,,0.001369000000000009,0.001369000000000009,,0.001369000000000009,0.001369000000000009,,,,,,,,,,
2024-12-23 11:45:02,93489.0,0.0,125.0,176.7766952966369,0.0,125.0,176.7766952966369,0.0,125.0,176.7766952966369,,,,,,,,,,0.312978,0.0,0.0006845000000000045,0.00096802918344439,0.0,0.0006845000000000045,0.00096802918344439,0.0,0.0006845000000000045,0.00096802918344439,,,,,,,,,
2024-12-23 11:50:02,93214.0,275.0,175.0,152.0690632574555,275.0,175.0,152.0690632574555,275.0,175.0,152.0690632574555,,,,,,,,,,0.311602,0.0013759999999999883,0.0009149999999999991,0.0007924209739778465,0.0013759999999999883,0.0009149999999999991,0.0007924209739778465,0.0013759999999999883,0.0009149999999999991,0.0007924209739778465,,,,,,,,,
2024-12-23 11:55:01,93214.0,0.0,131.25,151.89771777965154,0.0,131.25,151.89771777965154,0.0,131.25,151.89771777965154,,,,,,,,,,0.311602,0.0,0.0006862499999999994,0.0007924183974811951,0.0,0.0006862499999999994,0.0007924183974811951,0.0,0.0006862499999999994,0.0007924183974811951,,,,,,,,,
2024-12-23 12:00:02,93325.0,111.0,127.2,131.8586364255296,111.0,127.2,131.8586364255296,111.0,127.2,131.8586364255296,,,,,,,,,,0.311367,0.00023499999999998522,0.0005959999999999965,0.0007153114706196187,0.00023499999999998522,0.0005959999999999965,0.0007153114706196187,0.00023499999999998522,0.0005959999999999965,0.0007153114706196187,,,,,,,,,
2024-12-23 12:05:02,93325.0,0.0,106.0,128.8642696793801,0.0,106.0,128.8642696793801,0.0,106.0,128.8642696793801,525.0,525.0,,525.0,525.0,,525.0,525.0,,0.311367,0.0,0.0004966666666666638,0.0006844991356215633,0.0,0.0004966666666666638,0.0006844991356215633,0.0,0.0004966666666666638,0.0006844991356215633,0.0029799999999999827,0.0029799999999999827,,0.0029799999999999827,0.0029799999999999827,,0.0029799999999999827,0.0029799999999999827,
2024-12-23 12:10:02,93472.0,147.0,111.85714285714286,118.65275466872309,147.0,111.85714285714286,118.65275466872309,147.0,111.85714285714286,118.65275466872309,275.0,400.0,176.7766952966369,275.0,400.0,176.7766952966369,275.0,400.0,176.7766952966369,0.31155,0.00018299999999998873,0.0004518571428571388,0.0006360066636368502,0.00018299999999998873,0.0004518571428571388,0.0006360066636368502,0.00018299999999998873,0.0004518571428571388,0.0006360066636368502,0.0016109999999999736,0.002295499999999978,0.00096802918344439,0.0016109999999999736,0.002295499999999978,0.00096802918344439,0.0016109999999999736,0.002295499999999978,0.00096802918344439
2024-12-23 12:15:02,93472.0,0.0,97.875,116.75302076238908,0.0,97.875,116.75302076238908,0.0,97.875,116.75302076238908,275.0,358.3333333333333,144.33756729740645,275.0,358.3333333333333,144.33756729740645,275.0,358.3333333333333,144.33756729740645,0.31155,0.0,0.0003953749999999964,0.0006101147286722865,0.0,0.0003953749999999964,0.0006101147286722865,0.0,0.0003953749999999964,0.0006101147286722865,0.0016109999999999736,0.00206733333333331,0.000790392518520603,0.0016109999999999736,0.00206733333333331,0.000790392518520603,0.0016109999999999736,0.00206733333333331,0.000790392518520603
2024-12-23 12:20:02,93287.0,185.0,107.55555555555556,113.00786599957446,185.0,107.55555555555556,113.00786599957446,185.0,107.55555555555556,113.00786599957446,258.0,333.25,128.08428214786284,258.0,333.25,128.08428214786284,258.0,333.25,128.08428214786284,0.311374,0.00017600000000000948,0.00037099999999999785,0.0005753757467950834,0.00017600000000000948,0.00037099999999999785,0.0005753757467950834,0.00017600000000000948,0.00037099999999999785,0.0005753757467950834,0.00023499999999998522,0.0016092499999999788,0.001120643379194885,0.00023499999999998522,0.0016092499999999788,0.001120643379194885,0.00023499999999998522,0.0016092499999999788,0.001120643379194885
